review_type,university,field_of_research,researcher_id,researcher_name,publication_id,title,review_reason,source_url
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-4780e1b17341d740,Social Impact Bonds: The Role of Evaluation,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/social-impact-bonds-the-role-of-evaluation/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-139e4c1d65c39047,Report II: Possibilities - Ideas on Public Sector Financial Reporting in Australia,"Official/OpenAlex metadata conflict: year, title",https://research-repository.uwa.edu.au/en/publications/report-ii-possibilities-ideas-on-public-sector-financial-reportin/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-24dce3adfb080acb,Do corporate imitation behaviors of CSR practices affect bank loan contracting? Evidence from a text-based measure,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/do-corporate-imitation-behaviors-of-csr-practices-affect-bank-loa/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-0fc679be666f80ea,Do students have satisfying educational experiences at sustainable universities? Evidence from Australian universities,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/do-students-have-satisfying-educational-experiences-at-sustainabl/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-61bf7eca046b6f4b,Is internal carbon pricing an agent of change in the green transition?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/is-internal-carbon-pricing-an-agent-of-change-in-the-green-transi/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-f97dd31bd6d21307,The effect of CSR assurance on subsequent corporate greenwashing: Suggestion acquisition or opinion shopping?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/the-effect-of-csr-assurance-on-subsequent-corporate-greenwashing-/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-8ee5f904f5f40e8e,Discretionary tone in reward-based crowdfunding: Do project owners talk their way to success?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/discretionary-tone-in-reward-based-crowdfunding-do-project-owners/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-17e6d4d8d3ead45f,Do overpaid dividends drive stock price crash risk?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/do-overpaid-dividends-drive-stock-price-crash-risk/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-787f59f3209bcdde,Green credit and bank’s risk-taking: evidence from China,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/green-credit-and-banks-risk-taking-evidence-from-china/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-e73d996fae7066bb,The impact of comment letters on audit fees: Evidence from spillover effect,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/the-impact-of-comment-letters-on-audit-fees-evidence-from-spillov/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-3a8fbf6af403b8b3,Does cybersecurity risk stifle corporate innovation activities?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/does-cybersecurity-risk-stifle-corporate-innovation-activities/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-1c8915dc70edd13c,Managerial ownership and financial distress: evidence from the Chinese stock market,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/managerial-ownership-and-financial-distress-evidence-from-the-chi/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-11210f87985af700,Analyst forecast quality and corporate social responsibility: The mediation effect of corporate governance,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/analyst-forecast-quality-and-corporate-social-responsibility-the-/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-37a4a18e133b89d6,CEO social capital and litigation risk,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/ceo-social-capital-and-litigation-risk/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-7c06f27ff1e9b07c,Corporate governance and innovation investment in publicly listed firms: the moderating effect of ownership type and legal jurisdiction,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/corporate-governance-and-innovation-investment-in-publicly-listed/
