name,job_title,academic_level,field_of_research,profile_url,university,orcid,title,doi,author_count,year,article_url,source,citation_percentile,journal_name,issn,quality_rank,impact_factor
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,Taming the dragon: stock exchange comment letters and earnings volatility,10.1080/00014788.2024.2361607,4,2025,https://doi.org/10.1080/00014788.2024.2361607,minerva,,Accounting and Business Research,0001-4788,,
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,"Vertical pay disparity, traditional Chinese culture, and employee productivity",10.1016/j.mar.2024.100902,3,2024,https://doi.org/10.1016/j.mar.2024.100902,minerva,,Management Accounting Research,1044-5005,,
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,"Whistleblowing Allegations, Audit Fees, and Internal Control Deficiencies",10.1111/1911-3846.12619,3,2021,https://doi.org/10.1111/1911-3846.12619,minerva,,Contemporary Accounting Research,0823-9150,,
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,Female representation on boards and CEO performance‐induced turnover: Evidence from Russia,10.1111/corg.12316,3,2020,https://doi.org/10.1111/corg.12316,minerva,,Corporate governance. An International Review,0964-8410,,
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,"The Relation between Strategy, CEO Selection, and Firm Performance",10.1111/1911-3846.12463,3,2019,https://doi.org/10.1111/1911-3846.12463,minerva,,Contemporary Accounting Research,0823-9150,,
Chung-Yu Hung,Deputy Head of Department,D,Accounting,https://findanexpert.unimelb.edu.au/profile/759375,UNIMELB,0000-0003-0805-5260,Expertise and Discretionary Bonus Decisions,10.1287/mnsc.2018.3172,3,2020,https://doi.org/10.1287/mnsc.2018.3172,minerva,,Management science,0025-1909,,
Chung-Yu Hung,Deputy Head of Department,D,Accounting,https://findanexpert.unimelb.edu.au/profile/759375,UNIMELB,0000-0003-0805-5260,"Group Identity, Performance Transparency, and Employee Performance",10.2308/accr-52652,3,2020,https://doi.org/10.2308/accr-52652,minerva,,Accounting Review,0001-4826,,
Eu-Jin Teo,Senior Lecturer,C,Accounting,https://findanexpert.unimelb.edu.au/profile/52200,UNIMELB,0000-0002-7196-5462,The Prospects for Tobacco Plain Packaging in Asia: No Longer Smoke up in the Air?,10.4236/blr.2021.121004,2,2021,https://doi.org/10.4236/blr.2021.121004,minerva,,Beijing Law Review,2159-4627,,
Eu-Jin Teo,Senior Lecturer,C,Accounting,https://findanexpert.unimelb.edu.au/profile/52200,UNIMELB,0000-0002-7196-5462,"Clash of the Deeming Provisions: Pre-Capital Gains Tax Concessions, Tax Consolidation and Policy in the Federal Court",,3,2016,https://hdl.handle.net/11343/128043,minerva,,"Australian Tax Forum: a journal of taxation policy, law and reform",0812-695X,,
Gary Biddle,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/774767,UNIMELB,0000-0003-3405-0738,"Clawback adoptions, managerial compensation incentives, capital investment mix and efficiency",10.1016/j.jcorpfin.2023.102506,3,2024,https://doi.org/10.1016/j.jcorpfin.2023.102506,minerva,,Journal of Corporate Finance,0929-1199,,
Gary Biddle,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/774767,UNIMELB,0000-0003-3405-0738,Does a liability of foreignness in liquidity apply to US IPOs?,10.1080/00014788.2022.2150595,3,2024,https://doi.org/10.1080/00014788.2022.2150595,minerva,,Accounting and Business Research,0001-4788,,
Gary Biddle,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/774767,UNIMELB,0000-0003-3405-0738,Accounting Conservatism and Bankruptcy Risk,10.1177/0148558x20934244,3,2022,https://doi.org/10.1177/0148558x20934244,minerva,,"Journal of Accounting, Auditing and Finance",0148-558X,,
Gary Biddle,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/774767,UNIMELB,0000-0003-3405-0738,"Managerial Learning from Analyst Feedback to Voluntary Capex Guidance, Investment Efficiency and Firm Performance",10.1287/mnsc.2020.3896,3,2022,https://doi.org/10.1287/mnsc.2020.3896,minerva,,Management science,0025-1909,,
Geoffrey Burrows,,D,Accounting,https://fbe.unimelb.edu.au/our-people/staff/accounting/geoffrey_burrows,UNIMELB,,World War 2 governmental cost-plus procurement: An Australian case study,10.1177/10323732241258560,3,2024,https://doi.org/10.1177/10323732241258560,minerva,,Accounting History,1032-3732,,
Jane Hronsky,Lecturer,B,Accounting,https://findanexpert.unimelb.edu.au/profile/14595,UNIMELB,0000-0002-1987-7668,World War 2 governmental cost-plus procurement: An Australian case study,10.1177/10323732241258560,3,2024,https://doi.org/10.1177/10323732241258560,minerva,,Accounting History,1032-3732,,
Jane Hronsky,Lecturer,B,Accounting,https://findanexpert.unimelb.edu.au/profile/14595,UNIMELB,0000-0002-1987-7668,Who pays attention to sustainability reports and why? Evidence from Google search activity,10.1111/acfi.13045,3,2023,https://doi.org/10.1111/acfi.13045,minerva,,Accounting and Finance,0810-5391,,
Jennifer Grafton,Associate Dean (Global Engagement),E,Accounting,https://findanexpert.unimelb.edu.au/profile/2122,UNIMELB,0000-0003-3545-3870,The Influence of Performance Measurement on the Processual Dynamics of Strategic Change,10.1287/mnsc.2019.3442,3,2021,https://doi.org/10.1287/mnsc.2019.3442,minerva,,Management science,0025-1909,,
Jennifer Grafton,Associate Dean (Global Engagement),E,Accounting,https://findanexpert.unimelb.edu.au/profile/2122,UNIMELB,0000-0003-3545-3870,"Accounting and Control in Health Care: Behavioural, Organisational, Sociological and Critical Perspectives",10.1016/s1751-3243(06)02014-1,4,2006,https://doi.org/10.1016/s1751-3243(06)02014-1,minerva,,Handbooks of Management Accounting Research,,,
Jennifer Grafton,Associate Dean (Global Engagement),E,Accounting,https://findanexpert.unimelb.edu.au/profile/2122,UNIMELB,0000-0003-3545-3870,Health Sector Performance Management,10.1111/j.1835-2561.2005.tb00297.x,2,2005,https://doi.org/10.1111/j.1835-2561.2005.tb00297.x,minerva,,Australian Accounting Review,1035-6908,,
Jonathan Black,Senior Lecturer,C,Accounting,https://findanexpert.unimelb.edu.au/profile/1045278,UNIMELB,0000-0001-9805-5672,Does fair value accounting affect how banks convey information about future performance? Evidence from SFAS 115,10.1007/s11156-025-01394-5,3,2025,https://doi.org/10.1007/s11156-025-01394-5,minerva,,Review of Quantitative Finance and Accounting,0924-865X,,
Like Jiang,Senior Lecturer,C,Accounting,https://findanexpert.unimelb.edu.au/profile/747313,UNIMELB,0000-0003-1704-9751,Are Investors Warned by Disclosure of Conflicts of Interest? The Moderating Effect of Investment Horizon,10.2308/tar-2017-0284,4,2020,https://doi.org/10.2308/tar-2017-0284,minerva,,Accounting Review,0001-4826,,
Maggie Singorahardjo,,,Accounting,https://fbe.unimelb.edu.au/our-people/staff/accounting/maggie-singorahardjo,UNIMELB,0000-0003-4778-3746,The ChatGPT Artificial Intelligence Chatbot: How Well Does It Answer Accounting Assessment Questions?,10.2308/issues-2023-013,326,2023,https://doi.org/10.2308/issues-2023-013,minerva,,Issues in Accounting Education,0739-3172,,
Maggie Singorahardjo,,,Accounting,https://fbe.unimelb.edu.au/our-people/staff/accounting/maggie-singorahardjo,UNIMELB,0000-0003-4778-3746,Preparing graduates with the employability skills for the unknown future: reflection on assessment practice during COVID-19,10.1108/arj-09-2020-0285,3,2020,https://doi.org/10.1108/arj-09-2020-0285,minerva,,Accounting Research Journal,1030-9616,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,"Altruism, social norms, and incentive contract design",10.1007/s11142-021-09649-x,4,2023,https://doi.org/10.1007/s11142-021-09649-x,minerva,,Review of accounting studies,1380-6653,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,Manager ‘Growth Mindset’ and Resource Management Practices,10.1016/j.aos.2020.101200,4,2021,https://doi.org/10.1016/j.aos.2020.101200,minerva,,"Accounting, Organizations and Society",0361-3682,,
