journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Sustainability (Switzerland),Sustainability (Switzerland),Multidisciplinary Digital Publishing Institute,2071-1050,,,4.1,4.2,2025,0.75,Q1,242,5.28,2025
Journal of Cleaner Production,Journal of Cleaner Production,Elsevier,0959-6526; 1879-1786,C,2025,10.7,11.0,2025,2.019,Q1,397,11.78,2025
Journal of Computer Information Systems,Journal of Computer Information Systems,International Association for Computer Information Systems,0887-4417; 2380-2057; 0022-0310,A,2025,6.6,4.7,2025,0.978,Q1,89,6.71,2025
Australasian Accounting Business and Finance Journal,"Australasian Accounting, Business and Finance Journal",University of Wollongong,1834-2000; 1834-2019,B,2025,1.0,1.8,2025,0.386,Q2,32,1.54,2025
International Review of Economics & Finance,International Review of Economics and Finance,Elsevier,1059-0560; 1873-8036,A,2025,7.6,6.8,2025,1.485,Q1,101,8.27,2025
Social Responsibility Journal,Social Responsibility Journal,Emerald Group Publishing Limited,1747-1117; 1758-857X,B,2025,5.2,5.3,2025,0.973,Q1,71,7.24,2025
Risks,Risks,Multidisciplinary Digital Publishing Institute,2227-9091,,,1.8,1.8,2025,0.374,Q2,45,2.79,2025
Business Strategy and the Environment,Business Strategy and the Environment,Royal College of Psychiatrists,0964-4733; 1099-0836,A,2025,13.2,17.5,2025,3.678,Q1,199,19.04,2025
Company and Securities Law Journal,Company and Securities Law Journal,Lawbook Co.,0729-2775,A,2025,0.1,0.3,2025,,,,,
Global Finance Journal,Global Finance Journal,Elsevier,1044-0283; 1873-5665,A,2025,5.2,5.2,2025,1.254,Q1,59,6.49,2025
International Review of Finance,International Review of Finance,Royal College of Psychiatrists,1369-412X; 1468-2443,A,2025,2.3,2.2,2025,0.636,Q2,35,2.96,2025
Journal of Corporate Citizenship,Journal of Corporate Citizenship,,1470-5001,,,,,,,,,,
Journal of Accounting Literature,Journal of Accounting Literature,Emerald Publishing,0737-4607; 2452-1469,A,2025,4.8,4.8,2025,0.912,Q2,31,3.8,2025
Journal of Corporate Finance,Journal of Corporate Finance,Elsevier,0929-1199; 1872-6313,A*,2025,6.9,10.5,2025,2.706,Q1,166,7.97,2025
