"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","7e519e8d-3127-573c-af38-d722007f8d41","Is Financial Reporting Still Useful? Australian Evidence","2019","https://doi.org/10.1111/abac.12152","10.1111/abac.12152","Abacus","0001-3072","1467-6281","A","3501","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","706f5634-9db7-5bb3-b1d7-c0d094e155b1","Keeping it private: financial reporting by large proprietary companies in Australia","2019","https://doi.org/10.1111/acfi.12436","10.1111/acfi.12436","Accounting and Finance","0810-5391","1467-629X","A","3501","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-001","Professor Margaret Abernethy","Professor","E","1537a117-5464-5f5f-8fc9-ba718b642ef2","The Relation between Strategy, CEO Selection, and Firm Performance","2019","https://doi.org/10.1111/1911-3846.12463","10.1111/1911-3846.12463","Contemporary Accounting Research","0823-9150","1911-3846","A*","3501","Abernethy, Margaret","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-038","Associate Professor Bo Qin","Associate Professor","D","1537a117-5464-5f5f-8fc9-ba718b642ef2","The Relation between Strategy, CEO Selection, and Firm Performance","2019","https://doi.org/10.1111/1911-3846.12463","10.1111/1911-3846.12463","Contemporary Accounting Research","0823-9150","1911-3846","A*","3501","Qin, Bo","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","9bd543df-a672-514d-8d80-c2e60e997993","Explanations as Discourse: Towards Ethical Big Data Analytics Services","2020","https://doi.org/10.3127/AJIS.V24I0.2519","10.3127/AJIS.V24I0.2519","Australasian Journal of Information Systems","1449-8618","1326-2238","A","4609","Davern, Michael","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-042","Professor Naomi Soderstrom","Professor","E","92423085-d793-531d-8e58-e172ee208125","Asbestos Contamination: Governance and Financial Reporting Issues in the Public, Private and Not-for-profit Sectors","2021","https://doi.org/10.1111/auar.12350","10.1111/auar.12350","Australian Accounting Review","1035-6908","1835-2561","B","3501","Soderstrom, Naomi","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-017","Dr Patrick Ferguson","Senior Lecturer","C","de4c9457-f179-5fe2-beb5-63ef24e4016f","Less Information, More Comparison, and Better Performance: Evidence from a Field Experiment","2021","https://doi.org/10.1111/1475-679X.12362","10.1111/1475-679X.12362","Journal of Accounting Research","0021-8456","1475-679X","A*","3501","Ferguson, Patrick","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-027","Professor Anne Lillis","Professor","E","92a65f28-fa9e-5d11-a706-4324ea92c569","The Role of Subjectivity in Mitigating Incentive Contracting Risks","2022","https://doi.org/10.2308/TAR-2017-0652","10.2308/TAR-2017-0652","Accounting Review","0001-4826","1558-7967","A*","3501","Lillis, Anne","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-046","Mr Eu-Jin Teo","Senior Lecturer","C","f4ae0e04-a5f7-5f7b-9cdf-344e9b152e91","The Prospects for Tobacco Plain Packaging in Asia: No Longer Smoke up in the Air?","2021","https://doi.org/10.4236/blr.2021.121004","10.4236/blr.2021.121004","Beijing Law Review","2159-4627","2159-4635","","","Teo, Eu-Jin","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","4647bffc-2363-42b1-ba56-70348da1d5c3","Enhancing the Interface between Standard-setters and Academic Research","2021","https://doi.org/10.1111/auar.12343","10.1111/auar.12343","Australian Accounting Review","1035-6908","1835-2561","B","3501","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
