researcher_name,title,journal_name,year,article_url,publication_type
Richard (Ruichao) Zhu,How Does Product Market Competition Affect Disclosure of Management Forecasts: Evidence from China Imports,Journal of Accounting and Economics,2026,,journal_article
Richard (Ruichao) Zhu,How Does Audit Quality Affect Firm Innovation? Evidence from China,Journal of Business Finance & Accounting,2025,,journal_article
Richard (Ruichao) Zhu,"Does Media Coverage Help Firms ""Lobby"" for Government Subsidies? Evidence from China",Asia Pacific Journal of Management,2021,,journal_article
Richard (Ruichao) Zhu,When Are Pay Gaps Good or Bad for Firm Performance? Evidence from China,Management and Organization Review,2020,,journal_article
Richard (Ruichao) Zhu,Military Top Executives and Corporate Philanthropy: Evidence from China,Asia Pacific Journal of Management,2017,,journal_article
Antje Berndt,Corporate Credit Risk Premia ( internet appendix ),Review of Finance,2018,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3077352,journal_article
Antje Berndt,How Subprime Borrowers and Mortgage Brokers Shared the Pie,Real Estate Economics,2016,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2339996,journal_article
Antje Berndt,A Credit Spread Puzzle for Reduced-Form Models ( internet appendix ),Review of Asset Pricing Studies,2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2413011,journal_article
Antje Berndt,"Monetary Policy, Bond Returns and Debt Dynamics ( internet appendix )",Journal of Monetary Economics,2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2559343,journal_article
Antje Berndt,Do Equity Markets Favor Credit Market News Over Options Market News?,Quarterly Journal of Finance,2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=972806,journal_article
Antje Berndt,How Does the U.S. Government Finance Fiscal Shocks?,American Economic Journal: Macroeconomics,2012,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1354699,journal_article
Antje Berndt,On Correlation and Default Clustering in Credit Markets,Review of Financial Studies,2010,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1361328,journal_article
Antje Berndt,Decomposing European CDS Returns,Review of Finance,2010,http://rof.oxfordjournals.org/content/14/2/189.full.pdf+html,journal_article
Antje Berndt,Moral Hazard and Adverse Selection in the Originate-to-Distribute Model of Bank Credit,Journal of Monetary Economics,2009,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1290312,journal_article
Antje Berndt,Restructuring Risk in Credit Default Swaps: An Empirical Analysis,Stochastic Processes and their Applications,2007,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=891397,journal_article
Antje Berndt,The Pitfalls of Originate-to-Distribute in Bank Lending,"Lessons from the Financial Crisis: Causes, Consequences, and Our Economic Future",2010,,journal_article
Jenni Bettman,Australian Evidence Regarding the Value-Relevance of Technical Information,Australian Journal of Management,2007,https://researchers.anu.edu.au/publications/48088,journal_article
Jenni Bettman,Fundamental and Technical Analysis: Substitutes or Complements?,Accounting and Finance,2009,,journal_article
Jenni Bettman,Momentum Profits in the Australian Equity Market: A Matched Firm Approach,Pacific-Basin Finance Journal,2009,,journal_article
Jenni Bettman,The Impact of Liquidity and Transaction Costs on the 52-Week High Momentum Strategy in Australia,Australian Journal of Management,2010,,journal_article
Jenni Bettman,The Economic Significance of Trading Based on the Size Effect in Australia,Australian Journal of Management,2011,,journal_article
Jenni Bettman,Exploring the Asset Growth Effect in the Australian Equity Market,Australian Journal of Management,2011,,journal_article
Hua Deng,The underpricing and long-term performance of Chinese IPOs listed on the Hong Kong Exchange,Journal of Asian Business and Economic Studies,2024,,journal_article
Hua Deng,Creating value by changing the old guard: The impact of controlling shareholder heterogeneity on firm performance and corporate policies,Journal of Financial and Quantitative Analysis,2013,,journal_article
