journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
Strategic Change: Briefings in Entrepreurial Finance,Wiley-Blackwell Publishing,1099-1697,,1992,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Strategic Entrepreneurship Journal,Wiley-Blackwell Publishing,1932-4391,1932-443X,2007,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Strategic Management Journal,Wiley-Blackwell Publishing,0143-2095,1097-0266,1980,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Strategic Organization,Sage Publications,1476-1270,1741-315X,2003,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Strategy & Leadership,Emerald Group Publishing,1087-8572,1758-9568,1996,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Strategy Science,INFORMS,2333-2050,2333-2077,2003,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Stress and Health,Wiley-Blackwell Publishing,1532-3005,1532-2998,1985,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Structural Change and Economic Dynamics,Elsevier,0954-349X,1873-6017,1990,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Structural Equation Modelling: A Multidisciplinary Journal,Taylor & Francis Online,1070-5511,1532-8007,1994,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studi Economici e Sociali: rivista di vita economica,Centro Studi G. Toniolo,0391-8750,,1966,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Agricultural Economics,Research Institute of Agricultural Economics and the Hungarian Academy of Sciences,1418-2106,2063-0476,1962,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Business and Economics,Sciendo,1842-4120,2344-5416,2006,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Comparative International Development,Springer International Publishing,0039-3606,1936-6167,1965,3599,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Economics and Finance,Emerald Group Publishing,1086-7376,1755-6791,1977,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Higher Education,Taylor & Francis Online,0307-5079,1470-174X,1976,3505,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Microeconomics,Sage Publications,2321-0222,2321-8398,2013,3803,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Nonlinear Dynamics & Econometrics,De Gruyter,1081-1826,1558-3708,1996,3802,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Studies in Political Economy: a socialist review,Taylor & Francis Online,0707-8552,,1979,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Suffolk University Law Review,Suffolk University Law School,0039-4696,,1967,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Supply Chain Forum: An International Journal,Taylor & Francis,1625-8312,1624-6039,2000,3509,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Supply Chain Management Review,Peerless Media,1521-9747,,2000,3509,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Supply Chain Management: an international journal,Emerald Group Publishing,1359-8546,1758-6852,1996,3509,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Survival,Taylor & Francis Online,0039-6338,1468-2699,1959,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Sustainability Accounting, Management and Policy Journal",Emerald Publishing,2040-8021,,2010,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Sustainable Development,Wiley-Blackwell Publishing,,1099-1719,1993,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Sustainable Futures,Elsevier Ltd,,2666-1888,2019,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Swedish Economic Policy Review,The Economic Council of Sweden,1400-1829,,1989,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Syracuse Journal of International Law and Commerce,Syracuse University,0093-0709,,1972,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
System Dynamics Review,Wiley-Blackwell Publishing,,1099-1727,1975,3503,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Systemic Practice and Action Research,Springer International Publishing,1094-429X,1573-9295,1988,3503,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Systems Research and Behavioral Science,Wiley-Blackwell Publishing,1092-7026,1099-1743,1984,3503,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Tarsadalom es Gazdasag,Akademiai Kiado,1588-9734,1589-021X,1994,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Tax Law Review,New York University School of Law,0040-0041,,1945,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Tax Notes,"Tax Analysts and Advocates, Washington, D.C.",2688-6642,,1972,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Tax Policy Journal,"Tax & Super Australia, Taxpayers Research Foundation",1833-1726,,2005,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Tax Specialist,Tax Institute,1329-1203,,1997,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Taxation in Australia,Tax Institute,0494-8343,,1963,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Teaching Business and Economics,Economics and Business Education Association,1367-3289,,1949,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Team Performance Management,Emerald Group Publishing,1352-7592,1758-6860,1995,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Technological Forecasting and Social Change,Elsevier,0040-1625,1873-5509,1969,3503,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Technological Sustainability,Emerald Publishing,2754-1312,2754-1320,2022,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Technology Analysis and Strategic Management,Taylor & Francis Online,0953-7325,1465-3990,1989,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Technology in Society,Elsevier,0160-791X,1879-3274,1979,4609,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Technometrics,American Statistical Association,0040-1706,1537-2723,1959,3503,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Technovation,Elsevier,0166-4972,1879-2383,1981,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Telematics and Informatics,Elsevier,0736-5853,1879-324X,1984,4609,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Teoros: revue de recherche en tourisme,"ESG UQAM, Belgrade",0712-8657,,1982,3508,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Texas International Law Journal,University of Texas School of Law,0163-7479,,1965,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Accounting Review,American Accounting Association,0001-4826,1558-7967,1926,3501,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Adam Smith Review,The International Adam Smith Society,1743-5285,,2004,3899,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The American Economic Review,American Economic Association,0002-8282,0065-812X,1911,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The American Sociologist,Springer International Publishing,0003-1232,1936-4784,1969,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The American Statistician (AMSTAT),Taylor & Francis Online,0003-1305,1537-2731,,4905,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"The Annals of Regional Science: international journal of urban, regional and environmental research and policy",Springer International Publishing,0570-1864,1432-0592,1967,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Australian Economic Review,Wiley-Blackwell Publishing,0004-9018,1467-8462,1968,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Australian Journal of Agricultural and Resource Economics,Wiley-Blackwell Publishing,1364-985X,1467-8489,1997,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Baltic Journal of Road and Bridge Engineering,Vilnius Gediminas Technical University,1822-427X,1822-4288,2006,3509,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The BE Journal of Economic Analysis and Policy,De Gruyter,1935-1682,1555-0494,2001,3803,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The BE Journal of Macroeconomics,De Gruyter,1935-1690,,2007,3803,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The BE Journal of Theoretical Economics,De Gruyter,1935-1704,,2001,3803,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Bottom Line,Emerald,0888-045X,2054-1724,,3503,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"The Brooklyn Journal of Corporate, Financial and Commercial Law",Brooklyn Law School,1934-2497,,2006,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Business Lawyer,American Bar Association,0007-6899,,1946,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The CASE Journal,Emerald Publishing,,1544-9106,2004,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The China Quarterly,Cambridge University Press,0305-7410,1468-2648,1960,3599,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The China Review: an interdisciplinary journal on greater China,Chinese University of Hong Kong Press,1680-2012,1015-6607,1990,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Chinese Economy: translation and studies,Taylor & Francis Online,1097-1475,1558-0954,1967,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Corporate Governance Law Review,Corporate Research Group,1449-9029,,2005,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Economic and Labour Relations Review,Sage Publications,1035-3046,,1990,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Economic History Review: a journal of economic and social history,Wiley-Blackwell Publishing,0013-0117,1468-0289,1927,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Economic Journal,Wiley-Blackwell Publishing,0013-0133,1468-0297,1891,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Economic Record,Wiley-Blackwell Publishing,0013-0249,1475-4932,1925,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Electronic Journal of Statistics,The Institute of Mathematical Statistics and the Bernoulli Society,1935-7524,,,4905,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The European Accounting Review,Taylor & Francis Online,0963-8180,1468-4497,1992,3501,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The European Journal of Finance,Taylor & Francis Online,1351-847X,1466-4364,1995,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Florida Tax Review,University of Florida Press,1066-3487,,1992,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Geneva Papers on Risk and Insurance - Issues and Practice,Springer International Publishing,1018-5895,1468-0440,1973,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Geneva Risk and Insurance Review,Springer International Publishing,1554-964X,1554-9658,1976,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Independent Review: a journal of political economy,Independent Institute,1086-1653,,1996,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Indonesian Journal of Accounting Research,Indonesian Institute of Accountants -Compartment of Accounting Educators,2086-6887,2655-1748,1997,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Information Society,Taylor & Francis Online,0197-2243,1087-6537,,4609,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The International Journal of Accounting,World Scientific Publishing,1094-4060,2213-3933,1965,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The International Journal of Comparative Labour Law and Industrial Relations,Kluwer Law International,0952-617X,1875-838X,1983,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The International Journal of Digital Accounting Research,Rutgers University,1577-8517,,2001,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"The International Journal of Environmental, Cultural, Economic and Social Sustainability: Annual Review",Common Ground Publishing Pty Ltd,1832-2077,1832-2077,2004,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The International Journal of Logistics Management,Emerald Group Publishing,0957-4093,1758-6550,1990,3509,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The International Journal of Management Education,Elsevier,1472-8117,1472-8117,2000,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The IUP Journal of Agricultural Economics,IUP Publications,0973-2276,,2004,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The IUP Journal of Applied Economics (previously ICFAI),IUP Publications,0972-6861,,2002,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The IUP Journal of Applied Finance,IUP Publications,0972-5105,,1995,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The IUP Journal of Managerial Economics,IUP Publications,0972-9305,,2003,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The IUP Journal of Monetary Economics (previously ICFAI),IUP Publications,0972-9291,,2003,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The IUP Journal of Public Finance,IUP Publications,0972-9356,,2003,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Japanese Political Economy,Taylor & Francis Online,2329-194X,2329-1958,1972,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Alternative Investments,S&P Global,1520-3255,1520-3255,1998,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Applied Behavioral Science,Sage Publications,0021-8863,1552-6879,1965,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Asset Management,Springer International Publishing,1470-8272,1479-179X,2000,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Derivatives,S&P Global,1074-1240,,1993,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Development Effectiveness,Taylor & Francis Online,1943-9342,1943-9407,2009,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Econometric Study of Northeast Asia (JESNA),"Economic Research Institute for Northeast Asia Kitakyusyu: International Centre for the Study of East Asian Development, Niigata, Japan",1880-6988,,1995,3802,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Economic Asymmetries,Elsevier,1703-4949,,2004,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Economic Education,Taylor & Francis Online,0022-0485,2152-4068,1969,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Economic History,Cambridge University Press,0022-0507,1471-6372,1941,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Economic Inequality,Springer International Publishing,1569-1721,1573-8701,2003,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Finance,American Finance Association,0022-1082,1540-6261,1946,3502,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Finance and Data Science,"KeAi Communications Co., Ltd.",2405-9188,,2015,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Fixed Income,S&P Global,1059-8596,,1991,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Futures Markets,Wiley-Blackwell Publishing,0270-7314,1096-9934,1981,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Gambling Business and Economics,University of Buckingham Press,1751-7990,1751-8008,2007,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Journal of Hospitality & Tourism Cases,Sage Publications,2164-9987,2164-9987,,3508,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Industrial Economics,Wiley-Blackwell Publishing,0022-1821,1467-6451,1952,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of International Maritime Law,Lawtext Publishing,1478-8586,,1994,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of International Trade and Economic Development: an international and comparative review,Taylor & Francis Online,0963-8199,1469-9559,1992,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Law and Economics,University of Chicago Law School,0022-2186,1537-5285,1958,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Pacific Studies,University of South Pacific,1011-3029,,1978,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Portfolio Management,S&P Global,0095-4918,,1975,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Prediction Markets,University of Buckingham Press,1750-676X,,2007,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Private Equity,Institutional Investor Journals Group,1096-5572,,1997,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Risk Finance,Emerald Group Publishing,1526-5943,,2000,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Risk Model Validation,Risk Waters Group.,1753-9579,1753-9587,,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Structured Finance,S&P Global,1551-9783,1551-9783,1995,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Theoretical Accounting Research,"Iona College, Hagan School of Business",1556-5106,,2005,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Trading,Institutional Investor Journals Group,1559-3967,,2006,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of Wealth Management,S&P Global,1534-7524,,1998,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Journal of World Intellectual Property,Wiley-Blackwell Publishing,1422-2213,1747-1796,1990,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Leadership Quarterly,Elsevier,1048-9843,1873-3409,1990,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Learning Organization,Emerald Publishing,0969-6474,1758-7905,1994,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Milbank Quarterly,Wiley-Blackwell Publishing,0887-378X,1468-0009,1923,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Modern Law Review,Wiley-Blackwell Publishing,0026-7961,1468-2230,1937,4801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The North American Journal of Economics and Finance,Elsevier,1062-9408,1879-0860,1988,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Pacific Review,Taylor & Francis Online,0951-2748,1470-1332,,3599,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Quarterly Journal of Austrian Economics,Springer International Publishing,1098-3708,1936-4806,1987,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Quarterly Journal of Economics,MIT Press,0033-5533,1531-4650,1886,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Review of Austrian Economics,Springer International Publishing,0889-3047,1573-7128,1986,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Review of Black Political Economy,Springer International Publishing,0034-6446,1936-4814,1970,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Review of Economic Studies,Oxford University Press,0034-6527,1467-937X,1933,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Review of Economics and Statistics,The MIT Press,0034-6535,1530-9142,1917,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Review of Financial Studies,Oxford University Press,0893-9454,1465-7368,1988,3502,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Review of Network Economics,De Gruyter,1446-9022,,2002,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
The Social Science Journal,Elsevier,0362-3319,1873-5355,1963,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
