Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
58;21100927225;"Journal of Financial Regulation";journal;"20534841, 20534833";"Oxford University Press";No;No;1,336;Q1;19;12;32;1502;175;32;3,73;125,17;15,63;3;United States;Northern America;"Oxford University Press";"2015-2025";"Finance (Q1)";"Economics, Econometrics and Finance"
59;21100223304;"SIAM Journal on Financial Mathematics";journal;"1945497X";"Society for Industrial and Applied Mathematics Publications";No;No;1,328;Q1;42;44;139;1651;311;139;2,15;37,52;27,17;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2010-2026";"Applied Mathematics (Q1); Finance (Q1); Numerical Analysis (Q1)";"Economics, Econometrics and Finance; Mathematics"
60;15465;"Pacific Basin Finance Journal";journal;"0927538X";"Elsevier B.V.";No;No;1,322;Q1;92;340;747;18762;4845;745;6,12;55,18;36,22;1;Netherlands;Western Europe;"Elsevier B.V.";"1993-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
61;21100870602;"Journal of Sustainable Finance and Investment";journal;"20430809, 20430795";"Taylor and Francis Ltd.";No;No;1,312;Q1;52;61;236;4691;2131;228;9,40;76,90;24,18;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2026";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
62;19700187515;"International Journal of Central Banking";journal;"18154654, 18157556";"European Central Bank";No;No;1,274;Q1;44;32;113;1673;214;112;1,97;52,28;20,00;2;Germany;Western Europe;"European Central Bank";"2010-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
63;21100890672;"Financial Innovation";journal;"21994730";"SpringerOpen";Yes;Yes;1,254;Q1;66;141;361;11033;3234;343;8,47;78,25;28,65;2;Germany;Western Europe;"SpringerOpen";"2015-2026";"Finance (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
64;16230;"Global Finance Journal";journal;"10440283";"Elsevier B.V.";No;No;1,254;Q1;59;111;309;7279;2199;305;6,49;65,58;29,08;2;Netherlands;Western Europe;"Elsevier B.V.";"1989-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
65;18617;"Journal of Risk and Insurance";journal;"15396975, 00224367";"Wiley-Blackwell Publishing Ltd";No;No;1,248;Q1;78;36;101;2055;260;97;2,23;57,08;35,11;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-1979, 1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
66;28708;"National Tax Journal";journal;"19447477, 00280283";"University of Chicago Press";No;No;1,232;Q1;72;38;104;1751;136;91;1,06;46,08;42,68;5;United States;Northern America;"University of Chicago Press";"1985, 1989, 1995-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
67;19900193252;"Journal of the American Taxation Association";journal;"15588017, 01989073";"American Accounting Association";No;No;1,218;Q1;36;11;38;598;82;37;2,20;54,36;43,75;0;United States;Northern America;"American Accounting Association";"1999, 2001, 2003-2004, 2007, 2009-2025";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
